model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.07,0.9
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.09,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.1,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.01,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.03,0.08
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.05,0.96
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.07,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.09,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.1,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.01,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.03,0.08
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.05,0.96
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.07,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.09,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.1,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.5,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,1.0,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.01,0.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.03,0.04
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.05,0.96
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.07,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.09,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.1,1.0
Falcon3-10B-Instruct,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.5,0.0
