model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Falcon3-10B-Instruct,from_female-single_to_male-single,atp,steer,single,long,w_rf,1.0,0.18,1.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.01,0.66,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.03,0.88,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.05,0.94,6.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.07,0.98,6.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.09,0.96,5.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.1,0.62,2.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-single_to_male-single,atp,steer,long,single,comb,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.01,0.76,10.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.03,0.7,4.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.05,0.78,2.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.07,0.8,2.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.09,0.76,2.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.1,0.78,1.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,0.5,0.78,1.0
OLMo-2-1124-13B-DPO,from_female-single_to_male-single,atp,steer,long,single,comb,1.0,0.76,1.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,long,single,comb,0.01,0.54,10.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,long,single,comb,0.03,0.98,10.0
gemma-3-12b-it,from_female-single_to_male-single,atp,steer,long,single,comb,0.05,0.98,10.0
